Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment,Name
C1,CAP_0603,C0603,68.707mm,53.594mm,68.707mm,53.594mm,69.407mm,53.594mm,2,T,180,Yes,1uF,1uF
C2,CAP_0603,C0603,56.769mm,45.974mm,56.769mm,45.974mm,56.769mm,45.274mm,2,T,90,Yes,1uF,1uF
C3,CAP_0603,C0603,37.476mm,45.89mm,37.476mm,45.89mm,37.476mm,45.19mm,2,T,90,Yes,1uF,1uF
C4,CAP_0603,C0603,61.468mm,55.372mm,61.468mm,55.372mm,61.468mm,56.072mm,2,T,270,Yes,1uF,1uF
C5,CAP_0603,C0603,36.449mm,55.245mm,36.449mm,55.245mm,36.449mm,55.945mm,2,T,270,Yes,1uF,1uF
C6,CAP_0603,C0603,56.643mm,50.396mm,56.643mm,50.396mm,55.943mm,50.396mm,2,T,0,Yes,100nF,100nF
C7,CAP_0603,C0603,56.642mm,52.07mm,56.642mm,52.07mm,55.942mm,52.07mm,2,T,0,Yes,1uF,1uF
C8,CAP_0603,C0603,45.974mm,52.324mm,45.974mm,52.324mm,46.674mm,52.324mm,2,T,180,Yes,1uF,1uF
C9,CAP_0603,C0603,45.974mm,53.848mm,45.974mm,53.848mm,46.674mm,53.848mm,2,T,180,Yes,100nF,100nF
C10,CAP_0603,C0603,45.999mm,50.631mm,45.999mm,50.631mm,46.699mm,50.631mm,2,T,180,Yes,1uF,1uF
C11,CAP_0603,C0603,45.999mm,49.149mm,45.999mm,49.149mm,46.699mm,49.149mm,2,T,180,Yes,100nF,100nF
R1,Res_0603,R0603,68.482mm,49.7mm,68.482mm,49.7mm,67.728mm,49.7mm,2,T,0,Yes,5.1K,5.1K
R2,Res_0603,R0603,68.609mm,52.07mm,68.609mm,52.07mm,67.855mm,52.07mm,2,T,0,Yes,5.1K,5.1K
R3,Res_0603,R0603,57.023mm,55.499mm,57.023mm,55.499mm,57.023mm,56.252mm,2,T,270,Yes,5.1K,5.1K
R4,Res_0603,R0603,59.899mm,55.486mm,59.899mm,55.486mm,59.899mm,56.239mm,2,T,270,Yes,5.1K,5.1K
R5,Res_0603,R0603,37.973mm,55.245mm,37.973mm,55.245mm,37.973mm,55.998mm,2,T,270,Yes,5.1K,5.1K
R6,Res_0603,R0603,41.115mm,55.215mm,41.115mm,55.215mm,41.115mm,55.968mm,2,T,270,Yes,5.1K,5.1K
R7,Res_0603,R0603,58.293mm,45.974mm,58.293mm,45.974mm,58.293mm,45.221mm,2,T,90,Yes,5.1K,5.1K
R8,Res_0603,R0603,61.022mm,46.136mm,61.022mm,46.136mm,61.022mm,45.383mm,2,T,90,Yes,5.1K,5.1K
R9,Res_0603,R0603,38.989mm,45.847mm,38.989mm,45.847mm,38.989mm,45.094mm,2,T,90,Yes,5.1K,5.1K
R10,Res_0603,R0603,41.938mm,45.899mm,41.938mm,45.899mm,41.938mm,45.146mm,2,T,90,Yes,5.1K,5.1K
U1,SL2.1s,SSOP-16_L4.6-W2.6-P0.53-LS4.0-BL,51.054mm,50.165mm,51.054mm,50.165mm,52.854mm,48.31mm,16,T,90,Yes,SL2.1s,SL2.1s
USB1,TYPE-C 16PIN 2MD(073),USB-C-SMD_TYPE-C-16PIN-2MD-073,39.751mm,60.198mm,39.751mm,60.198mm,44.076mm,62.573mm,16,T,180,No,TYPE-C 16PIN 2MD(073),TYPE-C 16PIN 2MD(073)
USB2,TYPE-C 16PIN 2MD(073),USB-C-SMD_TYPE-C-16PIN-2MD-073,58.801mm,60.198mm,58.801mm,60.198mm,63.126mm,62.573mm,16,T,180,No,TYPE-C 16PIN 2MD(073),TYPE-C 16PIN 2MD(073)
USB3,TYPE-C 16PIN 2MD(073),USB-C-SMD_TYPE-C-16PIN-2MD-073,40.259mm,41.275mm,40.259mm,41.275mm,35.934mm,38.9mm,16,T,0,No,TYPE-C 16PIN 2MD(073),TYPE-C 16PIN 2MD(073)
USB4,TYPE-C 16PIN 2MD(073),USB-C-SMD_TYPE-C-16PIN-2MD-073,73.787mm,51.054mm,73.787mm,51.054mm,76.162mm,46.729mm,16,T,90,No,TYPE-C 16PIN 2MD(073),TYPE-C 16PIN 2MD(073)
USB5,TYPE-C 16PIN 2MD(073),USB-C-SMD_TYPE-C-16PIN-2MD-073,59.309mm,41.402mm,59.309mm,41.402mm,54.984mm,39.027mm,16,T,0,No,TYPE-C 16PIN 2MD(073),TYPE-C 16PIN 2MD(073)